,Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
0,katyperry,KATY PERRY,8844,108647120,203,6022
1,justinbieber,Justin Bieber,30628,105419675,316257,3445
2,BarackObama,Barack Obama,15497,100365864,624487,10
3,Taylorswift13,Taylor Swift,84,85600953,0,126
4,rihanna,Rihanna,10069,86286422,1122,1023
5,youtube,YouTube,21995,71164804,1034,1993
6,theellenshow,Ellen DeGeneres,16189,76948975,35917,834
7,ladygaga,Lady Gaga,8695,77250694,127941,1870
8,twitter,Twitter,6584,62397623,145,5506
9,jtimberlake,Justin Timberlake,3863,65325235,262,67
10,britneyspears,Britney Spears,5397,56942450,388008,2570
11,cristiano,Cristiano Ronaldo,3122,69852575,95,0
12,kimkardashian,Kim Kardashian West,25975,58900357,132,10
13,selenagomez,Selena Gomez,4339,56220574,1257,167
14,cnnbrk,CNN Breaking News,60164,54207855,121,18
15,jimmyfallon,jimmy fallon,10483,50547515,7800,70
16,arianagrande,Ariana Grande,40414,56957472,64708,32524
17,shakira,Shakira,5315,51154209,209,1239
18,ddlovato,Demi Lovato,16722,54999444,550,2012
19,jlo,Jennifer Lopez,12417,44951739,1732,6599
20,instagram,Instagram,11542,39187577,4,161
21,oprah,Oprah Winfrey,12389,41650981,290,149
22,drake,Drizzy,1718,36670514,633,11
23,kingjames,LeBron James,5747,40798571,180,113
24,nytimes,The New York Times,311053,41233198,882,16344
25,billgates,Bill Gates,2598,44340256,183,40
26,cnn,CNN,171731,39536547,1115,1467
27,kevinhart4real,Kevin Hart,35898,35075244,554,85
28,mileycyrus,Miley Ray Cyrus,9335,39633153,385,273
29,onedirection,One Direction,9897,31836679,3895,301
30,sportscenter,SportsCenter,102029,35494538,1661,1158
31,espn,ESPN,94605,33971166,281,100
32,bbcbreaking,BBC Breaking News,33981,37120842,3,0
33,harry_styles,Harry Styles.,5407,31756758,2039,80
34,pink,P!nk,6832,32686053,448,420
35,liltunechi,Lil Wayne WEEZY F,1821,33576888,48,13
36,wizkhalifa,Wiz Khalifa,43829,33072290,835,52
37,niallofficial,Niall Horan,12488,38952167,5965,392
38,brunomars,Bruno Mars,4225,41142209,109,236
39,adele,Adele,302,28980708,157,0
40,narendramodi,Narendra Modi,18334,40620109,1873,0
41,neymarjr,Neymar Jr,41156,38188344,746,813
42,kanyewest,,,,,
43,kaka,Kaka,4925,30112755,355,95
44,actuallynph,Neil Patrick Harris,2841,27624300,125,184
45,realdonaldtrump,Donald J. Trump,37022,48314571,45,24
46,danieltosh,daniel tosh,13676,27363307,132,2
47,srbachchan,Amitabh Bachchan,61714,33280763,1738,62
48,aliciakeys,Alicia Keys,7378,30584944,690,227
49,nba,NBA,190809,27348304,1679,273
